epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73264,3.2799,2.58529,2.47557,0.17159,0.06264,0.04817,0.01682,3.20509,2.73217,2.03997,0.00034,0.00034,0.00034
2,9.62693,2.7433,2.09169,1.97973,0.22079,0.25567,0.13448,0.03544,3.14552,4.83418,2.42423,0.00069307,0.00069307,0.00069307
3,13.5561,2.35379,1.7725,1.68504,0.10758,0.20209,0.06361,0.01492,3.22873,8.00578,2.60094,0.00103901,0.00103901,0.00103901
4,17.4383,2.41447,1.71093,1.66293,0.3201,0.5123,0.27965,0.08744,2.50683,2.01474,1.92537,0.00137783,0.00137783,0.00137783
5,21.3543,2.21955,1.71556,1.60775,0.26741,0.39448,0.20916,0.05773,2.6852,2.41355,1.99936,0.00170951,0.00170951,0.00170951
6,25.3376,2.21767,1.61195,1.6234,0.08837,0.30798,0.05606,0.01352,3.35594,4.77144,2.73843,0.001901,0.001901,0.001901
7,29.2736,2.31484,1.66289,1.62476,0.11917,0.37136,0.08801,0.02604,2.84015,2.84724,2.16371,0.0018812,0.0018812,0.0018812
8,33.1602,2.15942,1.71637,1.57388,0.23435,0.38777,0.17518,0.0631,2.25811,3.17879,1.64762,0.0018614,0.0018614,0.0018614
9,37.0543,2.18222,1.6631,1.55204,0.34112,0.39075,0.29365,0.09726,2.27466,2.29315,1.63671,0.0018416,0.0018416,0.0018416
10,40.976,2.01432,1.60875,1.49094,0.15411,0.37211,0.10846,0.02717,2.84347,3.50583,2.055,0.0018218,0.0018218,0.0018218
11,44.8959,2.10603,1.54502,1.55269,0.34237,0.42953,0.2583,0.06081,2.74782,2.90601,1.95138,0.001802,0.001802,0.001802
12,48.9009,2.10056,1.48453,1.53034,0.52915,0.522,0.48835,0.18904,2.1628,1.72491,1.5217,0.0017822,0.0017822,0.0017822
13,52.8347,2.07422,1.53438,1.5163,0.51788,0.54213,0.50391,0.18853,2.16481,1.82943,1.54478,0.0017624,0.0017624,0.0017624
14,56.7475,2.05564,1.50954,1.49806,0.401,0.478,0.36316,0.10161,2.41217,2.46843,1.67767,0.0017426,0.0017426,0.0017426
15,60.6244,1.94246,1.56857,1.52974,0.25232,0.42655,0.21375,0.05194,2.59189,2.22089,1.79572,0.0017228,0.0017228,0.0017228
16,64.5218,1.96468,1.47079,1.46654,0.4192,0.50634,0.38639,0.10396,2.35972,1.84053,1.64894,0.001703,0.001703,0.001703
17,68.4116,1.94723,1.44595,1.47133,0.53527,0.56972,0.54361,0.19038,2.1292,1.76804,1.51257,0.0016832,0.0016832,0.0016832
18,72.3307,2.01877,1.43183,1.44322,0.49964,0.54959,0.50065,0.17068,2.16627,1.55401,1.5298,0.0016634,0.0016634,0.0016634
19,76.211,1.87166,1.41388,1.41884,0.48726,0.50243,0.42622,0.11122,2.57762,1.69804,1.77799,0.0016436,0.0016436,0.0016436
20,80.0751,1.96144,1.45327,1.48265,0.39359,0.45836,0.33135,0.07953,2.73317,1.75309,1.88257,0.0016238,0.0016238,0.0016238
21,83.9709,2.11014,1.43399,1.47227,0.51406,0.51749,0.49395,0.14017,2.47342,1.51531,1.70511,0.001604,0.001604,0.001604
22,87.8514,1.91121,1.38428,1.41714,0.56687,0.57387,0.57685,0.2304,2.10263,1.39487,1.47962,0.0015842,0.0015842,0.0015842
23,91.8585,1.93519,1.43619,1.40298,0.5409,0.54586,0.55646,0.22893,2.05182,1.5006,1.45117,0.0015644,0.0015644,0.0015644
24,95.7308,1.94408,1.42952,1.41218,0.52589,0.52525,0.51502,0.15938,2.28525,1.64894,1.58073,0.0015446,0.0015446,0.0015446
25,99.6415,1.93041,1.39432,1.40417,0.53541,0.51902,0.51128,0.14449,2.3312,1.60769,1.61023,0.0015248,0.0015248,0.0015248
26,103.543,1.88004,1.42479,1.39022,0.54497,0.53676,0.54433,0.1618,2.28103,1.5489,1.57918,0.001505,0.001505,0.001505
27,107.446,1.88653,1.39196,1.38336,0.61339,0.61745,0.63146,0.23537,2.14638,1.40459,1.49878,0.0014852,0.0014852,0.0014852
28,111.374,1.90606,1.35255,1.35218,0.56818,0.61148,0.59565,0.24467,2.06554,1.42859,1.42838,0.0014654,0.0014654,0.0014654
29,115.394,1.92267,1.35131,1.35025,0.55486,0.58837,0.58149,0.21643,2.10944,1.4914,1.44842,0.0014456,0.0014456,0.0014456
30,119.309,1.87657,1.34098,1.37246,0.5945,0.57271,0.56473,0.15915,2.32314,1.53505,1.57485,0.0014258,0.0014258,0.0014258
31,123.203,1.83286,1.38176,1.39717,0.55659,0.56525,0.54443,0.15317,2.35503,1.54161,1.59484,0.001406,0.001406,0.001406
32,127.089,1.87152,1.40045,1.39131,0.49952,0.51976,0.44863,0.13002,2.41867,1.59578,1.6268,0.0013862,0.0013862,0.0013862
33,130.945,1.81038,1.40819,1.36912,0.51655,0.52507,0.4657,0.14122,2.36761,1.57514,1.61229,0.0013664,0.0013664,0.0013664
34,134.833,1.8632,1.35614,1.34597,0.58505,0.54288,0.54217,0.18414,2.22295,1.46544,1.53913,0.0013466,0.0013466,0.0013466
35,138.731,1.90394,1.43506,1.35534,0.6022,0.59433,0.58008,0.21857,2.10008,1.39635,1.45064,0.0013268,0.0013268,0.0013268
36,142.623,1.90723,1.42378,1.3632,0.55768,0.58292,0.54293,0.18387,2.16694,1.43339,1.48092,0.001307,0.001307,0.001307
37,146.58,1.84164,1.34362,1.33207,0.61493,0.6085,0.62784,0.2466,2.02553,1.35102,1.40811,0.0012872,0.0012872,0.0012872
38,150.499,1.76544,1.32202,1.28526,0.61787,0.57867,0.61367,0.26375,1.95096,1.34183,1.37823,0.0012674,0.0012674,0.0012674
39,154.415,1.75919,1.33081,1.30223,0.61347,0.56525,0.60387,0.26454,1.94283,1.33808,1.37389,0.0012476,0.0012476,0.0012476
40,158.345,1.74149,1.30726,1.3062,0.62938,0.59433,0.6212,0.2807,1.93759,1.33251,1.3637,0.0012278,0.0012278,0.0012278
41,162.255,1.82562,1.32848,1.33567,0.60711,0.57047,0.60338,0.24755,2.0153,1.42622,1.38599,0.001208,0.001208,0.001208
42,166.137,1.86373,1.29889,1.32504,0.58488,0.5742,0.59227,0.25032,2.01224,1.40274,1.36772,0.0011882,0.0011882,0.0011882
43,170.061,1.8356,1.33512,1.3442,0.5836,0.57867,0.59378,0.25696,2.03896,1.34626,1.39539,0.0011684,0.0011684,0.0011684
44,173.957,1.78674,1.30668,1.31508,0.57589,0.566,0.56806,0.23804,2.06838,1.35712,1.42854,0.0011486,0.0011486,0.0011486
45,177.852,1.76572,1.35034,1.34942,0.58124,0.56898,0.56897,0.22317,2.08235,1.40261,1.45224,0.0011288,0.0011288,0.0011288
